"sample_id","item","item_question","response_text"
"S111","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","I think it would be selfish to use this technology when companies are choosing this type of technology over making actual, impactful changes on their destructive practices - like abandoning the use of fossil fuels. They may use this technology because it is cheaper and easier than making actual changes."
"S011","contractualist02","When in your opinion is the described technology <b>fair</b>?","When it is agreed upon by the vast majority."
"S139","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","Based on the article, it will provide some sort of protection against gases and other emissions that has been released into the atmosphere which causes harm to the society "
"S034","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","when everyone is treated the same"
"S048","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","That can function and execute task without being controlled by a human."
"S003","contractualist01","When in your opinion is the described technology <b>just</b>?","If it is serving its purpose."
"S106","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","the technology is just fine but using this tech means the end of the earth's natural condition."
"S112","hedonism02","Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?","when it causes harm to others."
"S141","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","I was thinking of utilities that would mitigate the effects of the heating planet described in the text."
"S021","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","I consider the ""unwritten contract"" in this context to be our responsibility to be good stewards to the environment, and not cause needless harm or wanton destruction to ourselves or other living things. Our technology should obey this contract. Breaking this contract is what caused our climate disaster."
"S049","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","Self responsible"
"S037","deontology01","What do you consider to be a <b>moral obligation</b>?","Again, since I do not believe in any definite moral position--as it is all completely subjective--in no way can something like a moral obligation exist."
"S120","hedonism07","How can the described technology <b>promotes your health</b>?","Allow me to live a longer and fuller life."
"S087","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","The ability to approach interactions with someone else with dignity? I'm not really sure."
"S114","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","In my opinion, the described technology does not make sacrifices in order to use it at all really, but if there were to be any sacrifices it would be to accept the viewing of SAI in the sky every once in a while for many years. "
"S066","deontology04","When in your opinion is the described technology <b>morally right</b>?","If the product was developed with good intentions and is being used with good intentions and there is a dire need than I would find it morally right. "
"S147","virtue01","For the development of the technology  <b>which people or groups of people</b> did you have in mind?","everyone living on our planet"
"S046","deontology02","What does <b>autonomy of users</b> mean for you in a technological context?","
To me, it means users can directly use this technology on their own. I'm unsure if that's correct."
"S098","hedonism01","When in your opinion is the described technology <b>personally satisfactory</b>?","The same as the prior answer, when it is necessary for your own or your families survival."
"S020","contractualist03","What do you consider to be an <b>unwritten contract</b> in a technological context?","I think that it is an underlying truth. Like we should all respect the planet, so it should be an unwritten contract,"
"S072","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","An important moral rule would be to not cause any additional harm to the environment or to any living creature on earth."
"S032","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","Fair use of technology is a use of technology that balances requirements with costs."
"S092","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","the ""value"" of nature is that we have to live on the planet and use its resources to survive. if the earth is deteriorating it will negatively affect our way of life. "
"S096","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","In regards to this question, I thought of the intrinsic value of nature as either helping or further damaging nature and took that into account."
"S118","hedonism03","When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?","If you for instance had to kill half the population or something drastic like that "
"S009","contractualist02","When in your opinion is the described technology <b>fair</b>?","When it's seem to be the actual solution to combat climate change"
"S064","deontology04","When in your opinion is the described technology <b>morally right</b>?","When climate change is approaching irreversible status."
"S027","contractualist04","What do you consider to be an <b>unwritten promise</b> in a technological context?","I would consider it to be an implicit goal most humans can agree on."
"S033","contractualist06","What do you consider to be a <b>idea of fairness</b> in a technological context?","no idea"
"S124","hedonism07","How can the described technology <b>promotes your health</b>?","There is absolutely no way this can promote my health. Humans can adapt to a naturally changing environment. Spraying chemicals into the atmosphere is not something which is natural."
"S091","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","Same. "
"S084","deontology08","What does <b>dignity in interactions</b> mean for you in a technological context?","Being treated equally and with respect no matter where you come from or where your background is. Everybody should we talk to like an adult and taken seriously. Because these types of technologies affect every single one of us and we deserve to know what is happening and how it will affect us"
"S094","deontology09","What do you consider to be a <b>intrinsic value of nature</b> in a technological context?","I consider it to be something for the good of the nature of the planet. The internal nature of the planet."
"S138","utilitarian01","Which type of <b>utilities</b> were you thinking of when you answered the question?","The black stuff they drop from airplanes at 50,000 feet."
"S151","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","scientists who are not overly influenced by greed or corporations"
"S128","hedonism08","How can the described technology <b>promotes your freedom</b>?","I guess the technology could promote freedom further down the road if it works and allows individuals to live in a world that is less impacted by climate change, but I don't see the technology promoting freedom in the shorter term."
"S122","hedonism07","How can the described technology <b>promotes your health</b>?","If it guarantees a longer, safer, healthier existence for me without introducing any detrimental factors.  However, I would say the presented technology (like many) falls into the category of everything has a price."
"S063","deontology04","When in your opinion is the described technology <b>morally right</b>?","it is morally right if you focus on the climate implications. it is less morally right if you focus on the potential negative side effects"
"S071","deontology05","What do you consider to be a <b>important moral rule</b> in a technological context?","what does using technology help in your daily lives.?"
"S125","hedonism07","How can the described technology <b>promotes your health</b>?","I'm not sure if it will promote my health or really affect it in any way at all. I don't know if the research is there to provide that answer."
"S156","virtue09","For the development of the technology  which <b>which people or groups of people</b> did you have in mind?","People that want to counter global warming and end for once and for all"
"S134","hedonism08","How can the described technology <b>promotes your freedom</b>?","I think it promotes my freedom in the sense that it would give me the ability to enjoy my time on earth more. I would be more comfortable and safer. I think comfort and safety in going out enjoying our wonderful planet are a gift of freedom. I would feel less free if going out were uncomfortable and unsafe, or if I were to be exposed to unpleasant conditions more often that prohibited me from doing things I normally would enjoy doing."
